category,subcategory,product_brand,product_name,ratings,reviews,price,Date
Handbags,,Shining Star,Women's Handbag,4,366,998,11-06-2023
Handbags,,Star Dust,Women's Hobos & Shoulder Bag,3.8,"10,222",369,18-08-2023
Handbags,,Lavie,Women's Horse Bag | Ladies Purse Handbag,4.1,"6,082","1,599",29-08-2023
Women's clothing,Kurtas & sets,Aurelia,Women's Indigo Floral Printed Straight Kurta,4.8,7,"1,591",08-10-2023
Women's clothing,Sarees,Sidhidata,Women's Jacquard Silk Saree with Blouse Piece,3.8,"1,528",599,08-04-2023
Handbags,,Lavie,Women's Jana Dome Sling Bag| Ladies Purse Handbag,4,"1,139",839,14-03-2023
Footwear,Women's footwear,Bata,womens Kafi Brown 5 UK Slipper 5724714,4.1,578,460,06-10-2023
Women's clothing,Sarees,Vardha,Women's Kanchipuram Raw Silk Saree with Unstitched Blouse Piece - Zari Woven Work Sarees for Wedding,3.9,464,"2,334",19-10-2023
Women's clothing,Sarees,AKHILAM,Women's Kanjivaram Banarasi silk Zari Woven Design Saree With Unstitched Blouse Piece,3.9,"1,152","1,499",13-01-2023
Women's clothing,Sarees,Avantika Fashion,Women's Kanjivaram Pure Lichi Silk Banarasi Sarees With Blouse Piece,4.2,25,469,27-02-2023
Women's clothing,Sarees,Avantika Fashion,Women's Kanjivaram Soft Silk Banarasi Saree With Blouse Piece,3.5,446,499,12-05-2023
Women's clothing,Sarees,SWORNOF,Womens Kanjivaram Soft Silk Saree Patola saree With Blouse Piece,4.2,388,999,12-11-2023
Women's clothing,Dresses & jumpsuits,VERO MODA,Women's Knee Length Polyester A-Line Dress,3.5,2,"1,934",13-03-2023
Women's clothing,Dresses & jumpsuits,VERO MODA,Women's Knee Length Polyester Shift Dress,3,1,"2,249",15-11-2023
Handbags,,creeper,Women's Leather Large Capacity Shoulder Bags,3.7,"1,144",569,09-11-2023
Handbags,,creeper,Women's Leather Large Capacity Shoulder Bags,3.7,"1,144",569,22-05-2023
Handbags,,Lino Perros,Women's leatherette Tote Bag,4.2,"3,453","1,289",02-11-2023
Handbags,,Lino Perros,Women's leatherette Tote Bag,4.2,"3,453","1,289",12-08-2023
Handbags,,Lino Perros,Women's leatherette Tote Bag,4.2,"3,453","1,289",01-05-2023
Women's clothing,Dresses & jumpsuits,Marks & Spencer,Women's Linen A-Line Knee-Length Casual Dress,3,1,"2,400",14-02-2023
Women's clothing,Dresses & jumpsuits,Marks & Spencer,Women's Linen A-Line Knee-Length Casual Dress,3.7,3,"2,000",11-05-2023
